Date,Open,High,Low,Close,Adj Close,Volume
2005-04-30,13969.639648,14110.290039,13877.919922,14033.959961,14033.959961,1062425600
2005-05-07,14068.259766,14112.610352,13841.860352,13866.809570,13866.809570,1143746800
2005-05-14,13861.599609,13863.160156,13590.049805,13717.419922,13717.419922,1127514000
2005-05-21,13730.089844,13739.200195,13541.769531,13714.780273,13714.780273,1017501400
2005-05-28,13741.280273,13946.009766,13684.519531,13818.450195,13818.450195,1529858200
2005-06-04,13768.030273,13984.339844,13745.679688,13934.759766,13934.759766,1691502800
2005-06-11,13948.419922,13999.059570,13801.419922,13912.030273,13912.030273,1465495600
2005-06-18,13928.709961,14233.809570,13890.780273,14230.290039,14230.290039,2269502200
2005-06-25,14142.490234,14365.049805,14142.139648,14201.059570,14201.059570,1872243200
2005-07-02,14188.349609,14202.089844,13920.870117,13964.469727,13964.469727,1946333600
2005-07-09,14065.339844,14550.169922,14047.009766,14504.290039,14504.290039,2325116000
2005-07-16,14496.549805,14800.309570,14487.870117,14786.459961,14786.459961,2205368800
2005-07-23,14794.929688,14899.709961,14743.690430,14880.980469,14880.980469,1817558000
2005-07-30,14892.730469,15201.820313,14841.120117,15051.320313,15051.320313,2178745600
2005-08-06,15033.980469,15480.799805,15024.540039,15450.950195,15450.950195,2073265400
2005-08-13,15435.490234,15508.570313,15001.440430,15038.610352,15038.610352,1912252000
2005-08-20,15093.179688,15244.900391,14832.000000,14982.889648,14982.889648,1492118400
2005-08-27,14851.679688,15249.150391,14734.429688,15221.889648,15221.889648,1638385000
2005-09-03,15231.769531,15307.650391,15038.650391,15165.769531,15165.769531,1183713400
2005-09-10,15240.400391,15240.889648,14965.980469,14983.200195,14983.200195,1235504200
2005-09-17,14994.769531,15271.910156,14943.610352,15143.969727,15143.969727,1330541400
2005-09-24,15166.160156,15470.509766,15127.990234,15428.519531,15428.519531,1589313400
2005-10-01,15399.870117,15493.000000,14798.910156,14847.790039,14847.790039,2021463400
2005-10-08,14898.839844,14933.929688,14439.129883,14485.879883,14485.879883,1600718600
2005-10-15,14551.740234,14649.709961,14308.610352,14487.849609,14487.849609,1895493800
2005-10-22,14470.669922,14566.099609,14189.469727,14215.830078,14215.830078,1658144000
2005-10-29,14313.419922,14668.530273,14255.929688,14585.790039,14585.790039,1453112000
2005-11-05,14498.839844,14808.469727,14317.509766,14740.599609,14740.599609,1474018600
2005-11-12,14760.400391,14924.620117,14518.750000,14883.320313,14883.320313,1458081800
2005-11-19,14939.700195,15117.879883,14806.959961,15081.469727,15081.469727,1327276400
2005-11-26,15099.629883,15232.320313,14866.099609,15200.379883,15200.379883,1504467000
2005-12-03,15208.860352,15208.860352,14860.540039,14910.509766,14910.509766,1514822200
2005-12-10,14991.620117,15079.959961,14863.839844,15029.809570,15029.809570,1433635800
2005-12-17,15044.900391,15272.719727,15044.900391,15183.580078,15183.580078,1212443400
2005-12-24,15076.940430,15173.480469,14811.639648,14876.429688,14876.429688,931130000
2005-12-31,14843.969727,15373.790039,14843.969727,15344.440430,15344.440430,1727625200
2006-01-07,15497.969727,15792.360352,15497.719727,15787.969727,15787.969727,2623789000
2006-01-14,15787.269531,15816.540039,15376.450195,15662.080078,15662.080078,2311909200
2006-01-21,15454.799805,15770.450195,15412.259766,15753.139648,15753.139648,2485571000
2006-01-28,15798.440430,15808.179688,15420.660156,15429.730469,15429.730469,1616812600
2006-02-04,15415.879883,15564.959961,15327.070313,15425.950195,15425.950195,2421810000
2006-02-11,15303.040039,15520.599609,15240.950195,15475.690430,15475.690430,1987524200
2006-02-18,15525.740234,15875.330078,15525.740234,15856.049805,15856.049805,1849445400
2006-02-25,15943.639648,15999.309570,15768.209961,15802.000000,15802.000000,1765162400
2006-03-04,15812.719727,15845.200195,15348.219727,15445.049805,15445.049805,1880346200
2006-03-11,15542.790039,15845.969727,15461.809570,15801.660156,15801.660156,1491800800
2006-03-18,15868.490234,15973.009766,15619.139648,15716.459961,15716.459961,1667912200
2006-03-25,15743.669922,15964.349609,15694.110352,15805.040039,15805.040039,2191649000
2006-04-01,15904.969727,16534.830078,15877.440430,16471.779297,16471.779297,1746802800
2006-04-08,16383.580078,16527.939453,16260.879883,16429.449219,16429.449219,1416819400
2006-04-15,16534.900391,16991.519531,16533.070313,16912.150391,16912.150391,1837309600
2006-04-22,16917.609375,16930.009766,16429.500000,16661.300781,16661.300781,2028129000
2006-04-29,16764.589844,17099.480469,16744.160156,17013.929688,17013.929688,1482792400
2006-05-06,17204.250000,17328.429688,16845.849609,16901.849609,16901.849609,2330079200
2006-05-13,16623.349609,16673.529297,16155.769531,16313.360352,16313.360352,2398798000
2006-05-20,16295.370117,16304.950195,15626.950195,15895.099609,15895.099609,2367283800
2006-05-27,15976.269531,16006.070313,15605.959961,15912.709961,15912.709961,1662525600
2006-06-03,15964.309570,16062.269531,15405.790039,15628.690430,15628.690430,1947817800
